locus_id,locus_index,nnz_across_pgs,mean_abs_weight,z0,z1,z2,z3
20:2100095,592101,2,0.13306916,0.5376311,-0.1790095,0.5780749,0.5185999
20:39832628,600008,4,0.35099995,-0.36395946,0.033602446,-0.6725222,-0.55094266
20:42994812,602177,5,0.3904968,-0.45174637,1.3872697,0.049940433,-0.34238482
20:43042364,602227,2,0.17564213,0.6163291,0.66465044,-0.16141225,0.099249884
20:48830772,605926,3,0.17207387,0.18157133,0.27836475,1.1501071,0.075549856
20:50155386,606739,3,0.18949667,-0.14857185,-0.29191896,-0.22500914,-0.64468783
21:47767295,636379,2,0.12353476,-0.44916418,0.46389458,0.68999505,-0.1861811
22:19969696,638143,2,0.16630265,-0.5678484,0.63535446,0.4981764,0.5961668
22:30451688,643380,3,0.25924683,-0.16004787,0.2902882,1.2348982,-0.76888025
22:32203334,644167,4,0.37914553,-0.7310015,1.4479445,0.15999086,-0.24081251
22:38599767,648123,2,0.18738309,0.71167654,-0.25568467,0.7753105,0.5322082
22:44324730,650638,2,0.12712112,-0.3617702,-0.40976292,0.49726176,0.29291028
22:50356302,655013,2,0.09227936,-0.11818668,-0.030999236,0.31998825,0.07698816
2:100598726,655744,3,0.29541373,-0.20783606,0.47189373,1.4703795,-0.6922435
2:158390468,683442,2,0.19262095,0.13137954,0.3477515,0.178821,-0.013023011
2:158449081,683473,3,0.29999977,-1.22784,0.91071635,0.44975495,-0.12125237
2:161333872,685139,3,0.2552566,0.21012783,-0.4156582,-0.5823964,0.7306599
2:165508389,686996,3,0.27077228,-0.2960108,1.1369079,0.5440221,-0.55294657
2:172796774,691062,3,0.2144249,0.11174955,-0.30989414,-0.5109609,0.63257056
2:175197545,692397,2,0.15299712,0.39054298,-0.46984488,0.18283895,-0.29346693
2:179650954,694726,2,0.17222406,0.66423064,-0.23653618,0.7204905,0.5259231
2:18707873,698371,2,0.11758526,0.3816864,-0.38082224,-0.106660485,0.40738255
2:212274937,709830,2,0.16632505,0.62406147,-0.2418899,0.7560022,0.39499676
2:219859171,713993,3,0.29495054,-1.2115138,0.8895328,0.42857102,-0.11503285
2:227105921,717910,2,0.17247486,-0.7889745,0.33384433,-0.15666854,-0.2477849
2:26192802,728256,3,0.26400274,0.012058501,0.48143935,0.6070306,1.4672095
2:27730940,728994,4,0.3169784,-0.42009422,0.862553,-0.3045036,-0.61605084
2:37204168,734897,2,0.14712486,0.3903435,-0.3961056,0.4664058,-0.287912
2:43611883,738889,2,0.19938499,-0.72560436,0.74499184,0.93530625,-0.4085709
2:45192080,739844,2,0.11719445,-0.375454,-0.3154264,0.5345911,0.26186615
2:55157914,746352,2,0.18425676,0.15906152,0.36473417,1.4074072,0.16372274
2:60586707,749586,3,0.15211438,-0.21105282,0.370164,0.120771006,-0.5866483
2:653874,751878,2,0.19575548,-0.11042956,0.6409382,0.012737419,-0.7463371
3:121961461,776976,2,0.17349724,0.0072660027,-0.035479464,0.83207756,-0.7307137
3:123065778,777716,4,0.38749966,-0.6523208,1.5407501,0.20493293,-0.2504158
3:12329783,777823,4,0.3734068,-0.12999716,0.28734142,-0.8159261,-0.685659
3:124921457,778969,4,0.26494735,0.23844615,-0.178891,0.37662533,-0.840077
3:128579324,780892,3,0.3,-1.2278405,0.9107177,0.4497565,-0.12125175
3:138055136,785869,2,0.1330202,0.43982428,-0.40010467,-0.091506615,0.5190468
3:141101839,787495,3,0.29539368,0.62078327,0.28104573,1.4357674,0.92575055
3:150066540,792336,2,0.19499004,-0.19155894,-0.25163922,-0.22281231,-0.72515196
3:160153305,797296,3,0.23277995,-0.30340144,0.39394173,1.0727482,-0.70176375
3:168226052,800907,2,0.17875317,-0.14654261,0.031225294,0.727833,-0.86342585
3:170724883,802215,3,0.1868714,0.4536158,-0.38982013,0.019155469,-0.32138795
3:183738460,808440,2,0.16313109,0.28395006,-0.19552678,0.28636175,0.85102814
3:185534482,809414,3,0.29735327,-1.2172043,0.9074501,0.45952588,-0.12888229
3:186665645,810158,4,0.24688625,0.25214496,-0.22124606,0.25012887,-0.7446952
3:187741842,810978,2,0.1287876,-0.44203183,0.48462576,0.43451488,0.48131657
3:23457080,818878,3,0.2827453,-0.53314966,0.8127778,-0.39502853,-0.5370153
3:35670150,826210,2,0.13038933,0.43004784,-0.39722365,-0.09413239,0.49990207
3:3649850,826695,3,0.3,-1.2278405,0.91071767,0.4497565,-0.12125175
3:47693664,832635,3,0.2632888,-1.095932,0.79205096,0.37404436,-0.0753624
3:54828827,835967,3,0.2988828,0.24465099,-0.48464543,-0.6814669,0.83662194
3:63948566,842151,3,0.26123348,-1.1136651,0.71333355,0.25837356,-0.19046189
3:64703394,842763,2,0.09114772,-0.023349863,-0.37996513,-0.04311633,0.011906013
3:70520917,846231,3,0.26944748,-0.65198594,0.0051152185,-0.5777296,-0.4122998
3:71648868,846830,3,0.25130075,0.7815744,-0.5582012,0.28795034,0.47701818
3:72803590,847642,2,0.12753808,0.2121296,0.25314415,0.66141117,0.87160116
3:77671721,850128,4,0.31405807,0.42773238,0.004387781,1.3182156,0.69241863
3:86756871,853735,2,0.14229326,0.091510355,0.4122245,0.85189474,0.86176926
3:88130136,854376,2,0.15535752,0.06623372,0.4823724,0.94494843,0.9128161
3:89986280,855104,2,0.15087548,-0.5501531,0.5665874,0.76965487,-0.27847776
3:9514016,856038,3,0.26515952,0.11088954,-0.36735523,0.2714213,-0.876758
4:103188709,859870,3,0.2941301,-0.54009855,-0.1162196,-0.70425916,-0.42209148
4:106048291,861163,2,0.15302086,-0.668917,-0.2906307,0.2087566,0.48942703
4:121765788,868771,2,0.16281343,-0.58039266,0.58674777,0.387802,0.5672448
4:1240299,869860,3,0.28708845,-1.1883755,0.85515803,0.41658324,-0.15719081
4:153520475,882778,3,0.2561808,-0.3792956,0.32280654,0.32129073,-0.6691486
4:157652753,885173,3,0.23216689,-0.115029335,-0.44518554,-0.55858546,0.22261785
4:1784403,895271,2,0.15860322,-0.7619066,0.30142692,-0.007958319,-0.4550922
4:185716100,899773,3,0.28813893,0.26807287,-0.4780249,-0.6340309,0.8319259
4:45186139,915930,2,0.16898552,-0.630067,0.6115917,0.7965185,-0.38500875
4:71835822,927089,2,0.15316561,-0.24274588,0.43216085,0.099023655,-0.72180015
4:720681,927191,3,0.26194048,-0.21094804,0.36472467,1.2488282,-0.7374096
4:77533939,929960,2,0.15707603,0.34532475,0.2321958,0.6573808,1.1177417
4:83584496,933316,3,0.21179461,0.6337812,-0.54398555,0.11638977,0.27376986
4:85297954,934240,3,0.29991534,-1.2275043,0.9106061,0.45004869,-0.121492505
4:89713121,936317,2,0.13302019,0.24134102,0.2456657,0.65683055,0.92196554
4:95114572,938456,2,0.16994943,0.4287288,-0.4653498,0.40843025,-0.32817298
4:96114385,938957,2,0.16776717,0.41649392,-0.50829726,0.17644982,-0.3133902
5:102586407,942011,3,0.29805437,-0.12169363,0.49702254,0.45530146,1.553873
5:122650885,952730,3,0.2826053,-1.1618855,0.8711588,0.47868806,-0.16869007
5:133861663,958181,2,0.13621607,0.35802665,-0.39258036,0.33310753,-0.2727524
5:133864599,958184,3,0.18225737,0.55413586,0.55030936,-0.120324284,0.10773137
5:14751305,965504,3,0.29890624,0.2387861,-0.478635,-0.6807173,0.8419347
5:176679407,982553,2,0.13633886,-0.17653707,-0.16786632,-0.10034162,-0.5605922
5:36084426,994158,3,0.26887804,0.54616123,0.3384103,1.3033875,1.0076394
5:44644006,998475,2,0.15159929,0.59034944,-0.21225917,0.66463315,0.47577488
5:44682589,998484,2,0.13463588,-0.36905244,-0.42244896,0.5064724,0.3073023
5:53271420,1001157,3,0.16333269,-0.35575023,-0.36232206,0.4596612,0.27992386
5:53272664,1001158,3,0.24327874,-1.0378559,0.6926797,0.2562281,-0.08315651
5:55807370,1002734,3,0.29044566,-1.1904881,0.89017105,0.45837635,-0.12648311
5:55810305,1002736,2,0.107761696,0.17447509,0.28904796,0.14241989,-0.040429346
5:58132702,1004226,2,0.12957916,-0.07012866,-0.23345184,-0.17208321,-0.46925277
5:67714246,1009372,2,0.1411057,0.53218114,-0.20812806,0.7010501,0.31008613
5:76435004,1013439,3,0.19179001,-0.74943954,0.3076377,0.3070171,0.6312681
6:111738793,1030707,3,0.25180668,-0.50314313,-0.08933761,-0.5124301,-0.49574876
6:117996631,1033888,4,0.32185286,-0.18523066,0.4920451,1.29049,-0.7243035
6:126792095,1038342,4,0.3071655,-0.47353157,1.3604501,0.31550866,0.018705517
6:127412728,1038525,2,0.19697961,-0.89204127,0.37435275,-0.14008616,-0.35083133
6:130265266,1039969,2,0.19841209,-0.89700043,0.37673306,-0.14496945,-0.34763902
6:143056556,1046755,2,0.080311485,-0.3362902,0.13634142,0.25512066,-0.49260157
6:164133001,1060039,4,0.3074458,-1.1153057,0.16445228,1.2795526,-0.16094284
6:19751516,1066388,2,0.1775445,0.6644087,-0.25236297,0.78193736,0.432854
6:20688121,1067068,3,0.297427,-1.2199308,0.89964086,0.44278312,-0.12877008
6:26211146,1070973,2,0.13336432,0.027024534,0.022643358,-0.097038664,0.8263394
6:29816421,1073558,3,0.21297558,0.11735561,-0.37697384,0.13101056,-0.6809883
6:32138545,1076797,3,0.25506967,-1.0736771,0.7653659,0.4166053,-0.20794111
6:33552707,1078842,3,0.24854667,-0.13692653,0.46394694,1.385703,-0.3994137
6:34236973,1079400,2,0.19179384,-0.86762875,0.36586565,-0.15562385,-0.31074736
6:35259397,1079880,3,0.2994472,-1.2262117,0.90791726,0.44678622,-0.121626094
6:39046644,1082229,2,0.17411749,-0.35019773,-0.24285164,0.5461992,0.2640711
6:39282371,1082453,2,0.15397425,-0.742145,0.29722825,-0.03008397,-0.39400023
6:40409243,1083234,3,0.2243965,-0.61987776,0.078395605,1.2883276,0.64107895
6:41864441,1084254,3,0.25866848,-0.018841874,0.2879569,0.18363601,1.4056636
6:43813711,1085290,2,0.1675767,-0.59917194,0.6016304,0.38372335,0.5793351
6:43814190,1085291,2,0.12286399,-0.48556292,-0.47741067,0.60976017,0.32802194
6:50788778,1089015,2,0.118260264,-0.003769408,0.72190565,0.76515555,0.34494442
6:51413013,1089395,3,0.27943552,-0.058953967,0.45246288,0.4534784,1.502848
6:7231843,1098584,4,0.36533445,-1.1058682,1.053348,0.37974468,-0.16917415
7:102976385,1113664,3,0.2895542,-0.4928144,-0.14773223,-0.6914518,-0.44752407
7:104516274,1114748,2,0.18490183,0.31152797,0.3556622,0.83095515,1.22491
7:117495667,1120990,3,0.2506883,0.39580682,-0.6477822,0.2697205,-0.3274457
7:127058953,1125306,3,0.29999858,-1.2278349,0.910716,0.4497618,-0.121255845
7:130457914,1126993,2,0.1453309,-0.49092242,-0.51710355,0.6073575,0.34438378
7:13886654,1131703,3,0.19073851,-0.10067008,-0.17937931,-0.217868,-0.60935265
7:140522073,1132600,2,0.18903185,-0.86687714,0.36097628,-0.105896346,-0.3780049
7:148429806,1136664,3,0.22570172,0.46672153,0.16897824,1.2467033,0.5633073
7:14898282,1136924,2,0.08923611,0.14725943,0.25653306,0.1460548,-0.03898885
7:150537635,1137710,3,0.20492652,-0.2147467,-0.5223261,0.9367056,0.13925616
7:15064190,1137800,3,0.26694903,-1.0829095,0.8682933,0.5363984,-0.10575633
7:15926228,1142930,3,0.26516172,0.7598205,-0.6304452,0.2158257,0.23551364
7:28194397,1150909,2,0.19800334,-0.70048076,0.72096467,0.43647218,0.6657632
7:30728452,1152641,4,0.19832286,-0.011945541,-0.1500383,-0.6749844,0.047034442
7:36742886,1156357,2,0.1477521,0.21005008,0.15049174,1.1600419,0.009140357
7:40816653,1158757,2,0.19288734,0.14251685,0.01120346,-0.14838868,1.1727298
7:44223721,1160762,3,0.28272447,-0.0970045,0.43247274,0.3772856,1.4925799
7:55802063,1167356,2,0.17134546,-0.5785438,0.66415447,0.5344298,0.6145168
7:69649683,1170788,3,0.26858494,-1.1123687,0.82890743,0.47575086,-0.19579726
7:77828991,1174046,3,0.24728827,0.70399,-0.59236413,0.25274706,0.13086945
8:103876325,1187574,2,0.19029911,-0.13274236,-0.31301904,-0.7247206,0.13370766
8:105662373,1188527,2,0.19949251,-0.7258339,0.74564976,0.9360919,-0.40816444
8:118184783,1194460,5,0.49536258,-0.66136193,1.6830112,0.12893274,-0.33283138
8:12643055,1198965,3,0.24946812,0.7034617,-0.61073214,0.2025404,0.13295643
8:128711742,1200498,3,0.28251916,-1.1523519,0.8897679,0.5069667,-0.13687122
8:129568078,1201132,3,0.24082462,-0.1431651,0.39743012,0.09154633,-0.5535203
8:135775546,1205468,2,0.18118191,0.6999867,-0.24471128,0.7348319,0.57016283
8:14148990,1209323,3,0.2459434,-0.10603732,0.5133492,0.5996606,1.3017985
8:145525277,1211404,2,0.16151294,0.11479557,0.012760475,-0.105269596,1.0166706
8:19830921,1216323,3,0.22099511,0.12574019,-0.075744726,-0.091192015,1.1293898
8:30852826,1223614,2,0.1574858,0.57098174,-0.24042585,0.7958311,0.25241905
8:34502571,1225581,2,0.16086939,0.57833415,-0.24656028,0.81522864,0.24240689
8:37397803,1226951,2,0.1304633,0.2944858,-0.3150707,-0.38023603,-0.1716333
8:41508577,1229236,3,0.2708053,-1.101976,0.8751263,0.56900024,-0.19927998
8:4186731,1229519,3,0.2885465,-1.1825734,0.8882568,0.47072035,-0.14072454
8:74568099,1244860,2,0.18580684,-0.67705566,0.649628,0.34147474,0.6207683
8:8721473,1250235,2,0.15343902,0.49615923,-0.4479899,-0.123744905,0.5825794
9:116943357,1267369,2,0.18883884,0.11422192,0.018152155,-0.15669598,1.1361011
9:139248082,1280618,3,0.2983109,-1.2223662,0.90425056,0.4466605,-0.12623088
9:19074538,1285007,4,0.289248,0.67644763,-0.7075009,0.25586683,0.35378265
9:22134094,1287017,4,0.39463234,-0.66076624,1.5591666,0.17336403,-0.24129228
9:23358495,1287794,3,0.19630209,0.14018585,-0.3110094,-0.4532479,0.58522755
9:28410683,1291082,5,0.3624188,0.20808566,0.51168394,0.13150741,1.2327344
9:34074476,1294258,3,0.1977389,-0.18288577,-0.5564621,0.5736269,0.85151905
9:4290085,1297336,6,0.49322003,-0.060400072,0.5898492,-0.76053,-0.61636794
9:81344701,1305730,2,0.17432857,0.26522237,0.36318365,0.83118415,1.1403775
9:81907986,1306137,3,0.29215,-1.2011144,0.88566947,0.446494,-0.142185
9:84308948,1307816,7,0.5422026,-0.83768505,1.0072016,0.39330685,-0.47511345
9:96915002,1315457,3,0.2409161,-0.13424261,0.37794086,0.31191358,1.2650074
9:98278413,1316142,2,0.13291743,0.3347331,0.580694,0.028346356,-0.06307806
:,1317056,3,0.74747145,-1.7045287,2.2910335,3.6218,-0.98887545
